,id,cpr,pais,nam,fna,fuc,ose,iko,ita,ana,thr,nom_ciudad,x,y
29,12,Corrientes,Argentina,Corrientes,Aeropuerto de Corrientes Dr. Fernando Piragine Niveyro,,Dir. Aeronautica Provincia de Corrientes,SARC,CNQ,CRR,INTL,Corrientes,-58.76200006073081,-27.448176340619145
30,55,Salta,Argentina,Salta,Aeropuerto de Salta Martín Miguel de Güemes,con vuelos internacionales,AA2000,SASA,SLA,SAL,INTL,Salta,-65.48438724469551,-24.85377983902201
31,27,Jujuy,Argentina,Jujuy,Aeropuerto de Jujuy El Cadillal - Gobernador Guzman,,AA2000,SASJ,JUJ,JUJ,INTL,S. S. de Jujuy,-65.09910942439882,-24.38985940240477
32,19,Formosa,Argentina,Formosa,Aeropuerto de Formosa El Pucu,,AA2000,SARF,FMA,FSA,INTL,Formosa,-58.22678645576402,-26.214076327854627
33,38,Misiones,Argentina,Posadas,Aeropuerto de Posadas Libertador General San Martin,,AA2000,SARP,PSS,POS,INTL,Posadas,-55.97122208538893,-27.389104
34,25,Misiones,Argentina,Iguazú,Aeropuerto de Cataratas del Iguazú,con vuelos internacionales,AA2000,SARI,IGR,IGU,INTL,Iguazú,-54.47583144869375,-25.734474947478017
35,155,Buenos Aires,Argentina,Ezeiza,Aeropuerto de Ezeiza Ministro Pistarini,con vuelos internacionales,AA2000,SAEZ,EZE,EZE,INTL,Ezeiza,-58.54246186556136,-34.812287473439504
36,121,Chubut,Argentina,Comodoro Rivadavia,Aeropuerto de Comodoro Rivadavia General Enrique Mosconi,,AA2000,SAVC,CRD,CRV,INTL,Comodoro Rivadavia,-67.46553279460962,-45.78494248652403
37,123,Entre Ríos,Argentina,Concordia,Aeropuerto de Concordia Comodoro Juan José Pierrestegui,sin vuelos regulares,Municipalidad de Concordia,SAAC,COC,DIA,NAC,Concordia,-57.997305,-31.29702012836899
38,125,La Pampa,Argentina,General Pico,Aeropuerto de General Pico,sin vuelos regulares,AA2000,SAZG,GPO,GPI,NAC,Gral. Pico,-63.75972322219686,-35.69126094473591
39,127,Río Negro,Argentina,General Roca,Aeropuerto de Gral. Roca Dr. Arturo H. Illia,sin vuelos regulares,Aero Club General Roca,SAHR,GNR,GNR,NAC,Gral. Roca,-67.61889255507985,-38.999443252004646
40,129,Buenos Aires,Argentina,Junin,Aeropuerto de Junin,sin vuelos regulares,Municipalidad de Junin,SAAJ,JNI,NIN,NAC,Junín,-60.93012358057873,-34.54567602427661
41,131,Buenos Aires,Argentina,La Plata,Aeropuerto de La Plata,sin vuelos regulares,Provincia de Buenos Aires,SADL,LPG,PTA,NAC,La Plata,-57.89538079028936,-34.97610933109367
42,133,Mendoza,Argentina,Malargue,Aeropuerto de Malargüe Comodoro D. Ricardo Salomon,sin vuelos regulares,AA2000,SAMM,LGS,MLG,NAC,Malargüe,-69.58019922520845,-35.48641058935752
43,135,Corrientes,Argentina,Paso de los Libres,Aeropuerto de Paso de los Libres,sin vuelos regulares,Administración Nacional de Aviación Civil (ANAC),SARL,AOL,LIB,INTL,Paso de los Libres,-57.152067419421286,-29.689268507748903
44,137,Santa Fe,Argentina,Reconquista,Aeropuerto de Reconquista,,AA2000,SATR,RCQ,RTA,NAC,Reconquista,-59.68138908166927,-29.21045707111053
45,139,Cordoba,Argentina,Río Cuarto,Aeropuerto de Rio Cuarto - Área de Material,,AA2000,SAOC,RCU,TRC,NAC,Río Cuarto,-64.2692882582764,-33.09433597571817
46,141,Buenos Aires,Argentina,San Fernando,Aeropuerto de San Fernando,sin vuelos regulares,AA2000,SADF,FDO,FDO,INTL,San Fernando,-58.58913955297556,-34.45309358485369
47,143,Buenos Aires,Argentina,Santa Teresita,Aeropuerto de Santa Teresita,sin vuelos regulares,Municipalidad de La Costa,SAZL,SST,STR,NAC,Santa Teresita,-56.72030577814635,-36.5425734151463
48,145,Buenos Aires,Argentina,Tandil,Aeropuerto de Tandil,sin vuelos regulares,Provincia de Buenos Aires,SAZT,TDL,DIL,NAC,Tandil,-59.22881289443511,-37.23622057975411
49,147,Salta,Argentina,Gral. E. Mosconi,Aeropuerto de Tartagal Gral Enrique Mosconi,sin vuelos regulares,Provincia de Salta,SAST,TTG,TAR,NAC,Tartagal,-63.793726869974215,-22.618638295242437
50,151,Buenos Aires,Argentina,Villa Gesell,Aeropuerto de Villa Gesell,sin vuelos regulares,Municipalidad de Villa Gesell,SAZV,VLG,GES,NAC,Villa Gesell,-57.02912394808962,-37.23491520247535
51,153,San Luis,Argentina,Villa Mercedes,Aeropuerto de Villa Reynolds,sin vuelos regulares,AA2000,SAOR,VME,RYD,NAC,Villa Mercedes,-65.38612810493274,-33.729806828699544
52,154,Sgo. del Ester,Argentina,Río Hondo,Aeropuerto de Termas de Río Hondo,Inaugurado 24/07/2012,AA2000,SANR,RHD,RHD,NAC,Río Hondo,-64.93794009624844,-27.509027634214064
53,157,Santa Cruz,Argentina,El Turbio/28 de Noviembre,Aeropuerto de Río Turbio/28 de Noviembre,Incorporado el 29/04/2015,Municipio de 28 de Noviembre,SAWT,RYO,BIO,NAC,El Turbio/28 de Noviembre,-72.2237137399497,-51.60478579302238
54,156,Buenos Aires,Argentina,Buenos Aires,Aeropuerto El Palomar,Incorporado el 26/12/2017,AA2000,SADP,EPA,PAL,NAC,El Palomar,-58.60452790226557,-34.61023519799679
