,id,cpr,pais,nam,fna,fuc,ose,iko,ita,ana,thr,nom_ciudad,x,y
0,15,Santa Cruz,Argentina,El Calafate,Aeropuerto de El Calafate Comandante Armando Tola,,London Supply S.A.C.I.FI.,SAWC,FTE,ECA,NAC,El Calafate,-72.05304518405136,-50.28034888947778
1,68,Tierra Del Fue,Argentina,Ushuaia,Aeropuerto de Ushuaia Malvinas Argentinas,,London Supply S.A.C.I.FI.,SAWH,USH,USU,INTL,Ushuaia,-68.30810498611865,-54.84358640088461
2,46,Santa cruz,Argentina,Rio Gallegos,Aeropuerto de Río Gallegos Piloto Civil Norberto Fernández,,AA2000,SAWG,RGL,GAL,INTL,Río Gallegos,-69.30791890262672,-51.60895079622087
3,47,Tierra Del Fue,Argentina,Río Grande,Aeropuerto de Rio Grande Gob. Ramón Trejo Noel,,AA2000,SAWE,RGA,GRA,INTL,Río Grande,-67.75308297707619,-53.777840238797936
4,17,Chubut,Argentina,Esquel,Aeropuerto de Esquel Brigadier General Antonio Parodi,,AA2000,SAVE,EQS,ESQ,NAC,Esquel,-71.13665178216398,-42.90470831072245
5,4,Río Negro,Argentina,San Carlos de Bariloche,Aeropuerto de San Carlos de Bariloche Teniente Luis Candelaria,,AA2000,SAZS,BRC,BAR,INTL,Bariloche,-71.1593078789764,-41.15031943377299
6,7,Neuquén,Argentina,San Martín de los Andes,Aeropuerto de Chapelco Aviador Carlos Campos,,Dir. Provincial de Aeronáutica de Neuquén,SAZY,CPC,CHP,NAC,Chapelco,-71.14068085201642,-40.07670104242249
7,33,Neuquén,Argentina,Neuquén,Aeropuerto de Neuquen Presidente Perón,,Aeropuertos del Neuquén S.A,SAZN,NQN,NEU,INTL,Neuquén,-68.15443619906651,-38.94894621212032
8,59,Mendoza,Argentina,San Rafael,Aeropuerto de San Rafael Santiago Germano,,AA2000,SAMR,AFA,SRA,NAC,San Rafael,-68.40319986823552,-34.58831536958247
9,31,Mendoza,Argentina,Mendoza,Aeropuerto de Mendoza Francisco Gabrielli - El Plumerillo,con vuelos internacionales,AA2000,SAME,MDZ,DOZ,INTL,Mendoza,-68.79386104979281,-32.83040284073422
10,56,San Juan,Argentina,San Juan,Aeropuerto de San Juan Domingo Faustino Sarmiento,,AA2000,SANU,UAQ,JUA,NAC,San Juan,-68.41877525414593,-31.569910234098103
11,65,Chubut,Argentina,Trelew,Aeropuerto de Trelew Almirante Zar,,London Supply S.A.C.I.FI.,SAVT,REL,TRE,INTL,Trelew,-65.26869890641582,-43.21183037889757
12,41,Chubut,Argentina,Puerto Madryn,Aeropuerto de Puerto Madryn El Tehuelche,,AA2000,SAVY,PMY,DRY,NAC,Puerto Madryn,-65.10349769084932,-42.75881165830642
13,69,Río Negro,Argentina,Viedma,Aeropuerto de Viedma Gobernador Edgardo Castello,,AA2000,SAVV,VDM,VIE,NAC,Viedma,-62.99926721456352,-40.86989467228366
14,63,La Pampa,Argentina,Santa Rosa,Aeropuerto de Santa Rosa,,AA2000,SAZR,RSA,OSA,NAC,Santa Rosa,-64.27484507394487,-36.58578004306301
15,3,Buenos Aires,Argentina,Bahía Blanca,Aeropuerto de Bahía Blanca Comandante Espora,,Aeropuerto Bahía Blanca S.A.,SAZB,BHI,BCA,NAC,Bahía Blanca,-62.15379847934545,-38.7236753422101
16,32,Buenos Aires,Argentina,Necochea,Aeropuerto de Necochea Edgardo Hugo Yelpo,sin vuelos regulares,Provincia de Buenos Aires,SAZO,NEC,NEC,NAC,Necochea,-58.81389387676821,-38.48901403134664
17,30,Buenos Aires,Argentina,Mar del Plata,Aeropuerto de Mar del Plata Astor Piazzola,,AA2000,SAZM,MDQ,MDP,INTL,Mar del Plata,-57.57404499793565,-37.93211301775344
18,1,Capital Federa,Argentina,Buenos Aires,Aeroparque Jorge Newberry,con vuelos internacionales,AA2000,SABE,AEP,AER,INTL,Aeroparque,-58.413428,-34.560554
19,58,San Luis,Argentina,San Luis,Aeropuerto de San Luis Brigadier Mayor César Ojeda,,AA2000,SAOU,LUQ,UIS,NAC,San Luis,-66.35628053283388,-33.27308704479725
20,28,La Rioja,Argentina,La Rioja,Aeropuerto de La Rioja Capitán Vicente A. Almonacid,,AA2000,SANL,IRJ,LAR,NAC,La Rioja,-66.79234889357927,-29.37452466922506
21,10,Córdoba,Argentina,Córdoba,Aeropuerto de Córdoba Ing. A. Taravella - Pajas Blancas,con vuelos internacionales,AA2000,SACO,COR,CBA,INTL,Córdoba,-64.20820323418707,-31.31558087760009
22,6,Catamarca,Argentina,Catamarca,Aeropuerto de Catamarca Coronel Felipe Varela,,AA2000,SANC,CTC,CAT,NAC,Catamarca,-65.75271079001757,-28.594315545455707
23,67,Tucuman,Argentina,Tucuman,Aeropuerto de Tucumán Benjamín Matienzo,,AA2000,SANT,TUC,TUC,INTL,San Miguel de Tucumán,-65.10225446667454,-26.835503408966808
24,54,Sgo. del Ester,Argentina,Santiago del Estero,Aeropuerto de Santiago del Estero Vcom. Angel de la Paz Aragones,,AA2000,SANE,SDE,SDE,NAC,Santiago del Estero,-64.31002111583831,-27.766069669309623
25,50,Santa Fe,Argentina,Rosario,Aeropuerto de Rosario Islas Malvinas,con vuelos internacionales,Ente Tripartito AIR,SAAR,ROS,ROS,INTL,Rosario,-60.78523155470429,-32.90972096626273
26,61,Santa Fe,Argentina,Santa Fe,Aeropuerto de Santa Fe,,Provincia de Santa Fe,SAAV,SFN,SVO,NAC,Santa Fe,-60.81180148851709,-31.711417068196507
27,35,Entre Ríos,Argentina,Paraná,Aeropuerto de Paraná Gral. Urquiza,,AA2000,SAAP,PRA,PAR,NAC,Paraná,-60.48048125528696,-31.79601969516808
28,44,Chaco,Argentina,Resistencia,Aeropuerto de Resistencia Jose de San Martín,,AA2000,SARE,RES,SIS,INTL,Resistencia,-59.05723673580053,-27.45276727805929
